OBJECTID_1,STATION NAME,Total Population,White Alone,Black or African American Alone,Asian Alone,American Indian & Alaskan Native Alone,Other Race,Population of Two or More races,Hispanic or Latino,Not Hispanic or Latino,Total Population Percent,White Alone Percent,Black or African American Alone Percent,Asian Alone Percent,American Indian & Alaskan Native Percent,Others Percent,Population of Two or More Races Percent,Hispanic or Latino Percent,Not Hispanic or Latino Percent,Total Population,Under 5 Years,5 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 years and Over,Total Population Percent,Under 5 Years Percent,5 to 17 Years Percent,18 to 24 Years Percent,25 to 34 Years Percent,35 to 44 Years Percent,45 to 54 Years Percent,55 to 64 Years Percent,65 Years and Ober Percent,Total Households,1 Person Households,2 or More Person Households,Family Households,Non-Family Households,Total Households Percent,1 Person Households Percent,2 or More Person Households Percent,Family Households Percent,Non-Family Households Percent,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Owner-Occupied Units,Renter-Occupied Units,Total Housing Units Percent,Occupied Housing Units Percent,Vacant Housing Units Percent,Owner-Occupied Units Percent,Renter-Occupied Units Percent,Occupied Units Percent (Check digit),Population for Education,Number High School Graduate or Higher,Number Bachelor Degree or Better,Educational Total Percent,Percent High School Graduate or Higher,Percent Bachelor Degree or Higher,Estimate Total Number of Families,Estimate Below Poverty,Estimate Number of Families Percent,Estimate Below Poverty Percent,Workers 16 Years and Over,"Car, Truck, or Van - Drove Alone","Car, Truck, or Van - Carpooled",Public Transportation (including Taxi),Walked,Other Means,Worked at Home,Workers 16 Years and Over Percent,"Car, Truck, or Van - Drove Alone Percent","Car, Truck, or Van - Carpooled Percent",Public Transportation (including Taxi) Percent,Walked Percent,Other means Percent,Worked at Home Percent,Median Travel Time to Work (in minutes),Total Number of Households for Income,"Less than $24,999","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or More",Number of Households Percent,"Less than $24,999 Percent","$25,000 to $49,999 Percent","$50,000 to $74,999 Percent","$75,000 to $99,999 Percent","$100,000 to $149,999 Percent","$150,000 or More",Median Household Income,Total Housing Units,"1-unit, detached","1-unit, attached",2 units,3 to 4 units,5 to 9 units,10 to 19 units,20 or more units,Mobile home,"Boat, RV, van, etc.",Total Housing Units Percent,"1-unit, detached Percent","1-unit, attached Percent",2 units Percent,3 to 4 units Percent,5 to 9 Units Percent,10 to 19 units Percent,20 or more units Percent,Mobile home Percent,"Boat, RV, van, etc. Percent",Owned Units (Valued),"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 to $999,999","$1,000,000 or more",Valued Units Percent,"Less than $50,000 Percent","$50,000 to $99,999 Percent","$100,000 to $149,999 Percent","$150,000 to $199,999 Percent","$200,000 to $299,999 Percent","$300,000 to 499,999 Percent","$500,000 to $999,999 Percent","$1,000,000 or more Percent",Median Value (owner-occupied),Household Population for Vehicles,No Vehicle Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,Household Vehicles Percent,No Vehicle Available Percent,1 Vehicle Available Percent,2 Vehicles Available Percent,3 or More Vehicles Available Percent,Specified Renter-Occupied Units,Units with Cash Rent,Less than $200,$200 to $299,$300 to $499,$500 to $749,$750 to $999,"$1,000 to $1,499","$1,500 or More",No Cash Rent,Total Rental Units Percent,Units with Cash Rent Percent,Less than $200 Percent,$200 to $299 Percent,$300 to $499 Percent,$500 to $749 Percent,$750 to $999 Percent,"$1,000 to $1,499 Percent","$1,500 or more Percent",No Cash Rent Percent,Median (gross rent),x,y
78,BRANCH AVENUE,7829,768,6608,263,0,19,342,151,7678,1,0.1,0.84,0.03,0,0,0.04,0.02,0.98,7829,478,1165,924,1276,961,1067,1193,765,1,0.06,0.15,0.12,0.16,0.12,0.14,0.15,0.1,3043,960,2083,1926,1117,1,0.32,0.68,0.63,0.37,3720,3043,677,1423,1620,1,0.82,0.18,0.47,0.53,1,5262,2836,1417,1,0.54,0.27,1926,59,1,0.03,4158,2674,460,1006,0,10,8,1,0.64,0.11,0.24,0,0,0,34.12,3043,240,482,469,647,749,456,1,0.08,0.16,0.15,0.21,0.25,0.15,87770.48,3720,1234,492,0,228,121,649,996,0,0,1,0.33,0.13,0,0.06,0.03,0.17,0.27,0,0,1423,54,34,74,325,716,195,137,0,1,0.04,0.02,0.05,0.23,0.5,0.14,0.1,0,231354.75,3043,243,1409,885,368,1,0.08,0.46,0.29,0.12,1620,1579,0,16,9,43,138,467,947,41,1,0.97,0,0.01,0.01,0.03,0.09,0.29,0.58,0.03,1930.69,407598.38159999996,128820.28159999847
98,BRUNSWICK,5671,5141,188,0,0,0,684,259,5412,1,0.91,0.03,0,0,0,0.12,0.05,0.95,5671,381,919,548,772,766,978,687,620,1,0.07,0.16,0.1,0.14,0.14,0.17,0.12,0.11,2133,576,1557,1405,728,1,0.27,0.73,0.66,0.34,2351,2133,218,1539,594,1,0.91,0.09,0.72,0.28,1,3823,2405,1170,1,0.63,0.31,1405,100,1,0.07,2919,2170,277,273,90,0,109,1,0.74,0.09,0.09,0.03,0,0.04,33.08,2133,322,323,438,257,455,338,1,0.15,0.15,0.21,0.12,0.21,0.16,74058.22,2351,1629,265,83,80,88,68,96,42,0,1,0.69,0.11,0.04,0.03,0.04,0.03,0.04,0.02,0,1539,42,47,323,347,573,119,300,8,1,0.03,0.03,0.21,0.23,0.37,0.08,0.19,0.01,201832.46,2133,124,435,927,621,1,0.06,0.2,0.43,0.29,594,568,9,69,53,82,99,179,103,26,1,0.96,0.02,0.12,0.09,0.14,0.17,0.3,0.17,0.04,929.58,345843.07129999995,182771.4686000012
30,BWI BUSINESS DISTRICT,2775,2612,17,111,0,27,16,7,2768,1,0.94,0.01,0.04,0,0.01,0.01,0,1,2775,152,506,290,302,336,573,319,297,1,0.05,0.18,0.1,0.11,0.12,0.21,0.11,0.11,820,141,679,662,158,1,0.17,0.83,0.81,0.19,915,820,95,766,54,1,0.9,0.1,0.93,0.07,1,1827,1207,608,1,0.66,0.33,662,0,1,0,1440,1282,91,17,0,0,50,1,0.89,0.06,0.01,0,0,0.03,21.04,820,28,129,107,144,163,249,1,0.03,0.16,0.13,0.18,0.2,0.3,100613.5,915,896,0,19,0,0,0,0,0,0,1,0.98,0,0.02,0,0,0,0,0,0,766,17,0,9,0,317,390,81,9,1,0.02,0,0.01,0,0.41,0.51,0.11,0.01,320512.82,820,21,158,371,228,1,0.03,0.19,0.45,0.28,54,54,0,0,0,18,0,21,15,0,1,1,0,0,0,0.33,0,0.39,0.28,0,1214.29,428231.8122000024,169307.2388000004
50,BWI MARSHALL RAIL STATION,311,146,113,17,0,0,70,29,282,1,0.47,0.36,0.05,0,0,0.23,0.09,0.91,311,0,18,26,21,27,0,122,97,1,0,0.06,0.08,0.07,0.09,0,0.39,0.31,144,42,102,67,77,1,0.29,0.71,0.47,0.53,215,144,71,136,8,1,0.67,0.33,0.94,0.06,1,267,152,63,1,0.57,0.24,67,0,1,0,118,102,0,0,0,0,16,1,0.86,0,0,0,0,0.14,30.57,144,19,37,9,11,60,8,1,0.13,0.26,0.06,0.08,0.42,0.06,90909.09,215,189,8,0,18,0,0,0,0,0,1,0.88,0.04,0,0.08,0,0,0,0,0,136,0,0,0,25,16,81,66,0,1,0,0,0,0.18,0.12,0.6,0.49,0,366666.67,144,0,25,58,34,1,0,0.17,0.4,0.24,8,8,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,1,0,0,426391.0900999978,169359.53290000185
31,BWI THURGOOD MARSHALL AIRPORT,9,3,6,0,0,0,0,0,9,1,0.33,0.67,0,0,0,0,0,1,9,0,0,0,1,0,0,2,6,1,0,0,0,0.11,0,0,0.22,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428531.7093999982,168348.75820000097
19,CAMDEN YARDS-CAMDEN STATION,16224,8649,5112,1512,157,269,1050,673,15551,1,0.53,0.32,0.09,0.01,0.02,0.06,0.04,0.96,16224,597,1119,2426,5871,1892,1423,1504,1392,1,0.04,0.07,0.15,0.36,0.12,0.09,0.09,0.09,7788,3623,4165,2334,5454,1,0.47,0.53,0.3,0.7,9235,7788,1447,2145,5643,1,0.84,0.16,0.28,0.72,1,12082,9108,7124,1,0.75,0.59,2334,222,1,0.1,9378,4748,448,995,2675,193,319,1,0.51,0.05,0.11,0.29,0.02,0.03,21.79,7788,2049,1270,1474,888,1022,1085,1,0.26,0.16,0.19,0.11,0.13,0.14,59752.37,9235,427,3551,374,376,320,199,3988,0,0,1,0.05,0.38,0.04,0.04,0.03,0.02,0.43,0,0,2145,60,159,252,216,619,431,800,89,1,0.03,0.07,0.12,0.1,0.29,0.2,0.37,0.04,262277.87,7788,2296,3489,1548,455,1,0.29,0.45,0.2,0.06,5643,5545,84,316,298,238,407,2112,2188,98,1,0.98,0.01,0.06,0.05,0.04,0.07,0.37,0.39,0.02,1338.42,432810.5865999982,179584.03510000184
84,CAPITOL HEIGHTS,12140,1240,10112,73,142,350,446,1601,10539,1,0.1,0.83,0.01,0.01,0.03,0.04,0.13,0.87,12140,863,2303,1016,2073,1406,1543,1362,1574,1,0.07,0.19,0.08,0.17,0.12,0.13,0.11,0.13,3799,1116,2683,2494,1305,1,0.29,0.71,0.66,0.34,4150,3799,351,2595,1204,1,0.92,0.08,0.68,0.32,1,7958,3978,1084,1,0.5,0.14,2494,293,1,0.12,5070,2944,609,1371,68,55,23,1,0.58,0.12,0.27,0.01,0.01,0,32.77,3799,861,800,612,466,719,341,1,0.23,0.21,0.16,0.12,0.19,0.09,59742.65,4150,2486,1022,22,109,162,13,336,0,0,1,0.6,0.25,0.01,0.03,0.04,0,0.08,0,0,2595,66,103,270,774,959,379,188,19,1,0.03,0.04,0.1,0.3,0.37,0.15,0.07,0.01,208811.26,3799,563,1299,1193,584,1,0.15,0.34,0.31,0.15,1204,1104,52,36,104,108,148,297,459,100,1,0.92,0.04,0.03,0.09,0.09,0.12,0.25,0.38,0.08,1175.08,407543.121299997,135701.93919999897
16,CENTRE STREET,24806,9299,12260,1849,259,468,1342,1056,23750,1,0.37,0.49,0.07,0.01,0.02,0.05,0.04,0.96,24806,484,1658,4082,8953,3210,2544,1876,1999,1,0.02,0.07,0.16,0.36,0.13,0.1,0.08,0.08,11684,7291,4393,2527,9157,1,0.62,0.38,0.22,0.78,14037,11684,2353,1363,10321,1,0.83,0.17,0.12,0.88,1,18582,12254,8750,1,0.66,0.47,2527,479,1,0.19,11394,4419,594,2755,2844,379,403,1,0.39,0.05,0.24,0.25,0.03,0.04,22.25,11684,4312,2482,2078,1142,923,747,1,0.37,0.21,0.18,0.1,0.08,0.06,40410.96,14037,252,2134,286,986,2002,963,7385,9,20,1,0.02,0.15,0.02,0.07,0.14,0.07,0.53,0,0,1363,77,88,246,261,374,192,591,17,1,0.06,0.06,0.18,0.19,0.27,0.14,0.43,0.01,202540.11,11684,5192,5030,1267,159,1,0.44,0.43,0.11,0.01,10321,10186,277,945,745,915,1529,3822,2088,135,1,0.99,0.03,0.09,0.07,0.09,0.15,0.37,0.2,0.01,1089.22,432785.5194000006,181010.26350000128
41,CHARLES CENTER,15311,8542,4023,1691,178,352,1050,662,14649,1,0.56,0.26,0.11,0.01,0.02,0.07,0.04,0.96,15311,323,536,2259,5934,1683,1390,1394,1792,1,0.02,0.04,0.15,0.39,0.11,0.09,0.09,0.12,8586,5265,3321,1604,6982,1,0.61,0.39,0.19,0.81,9868,8586,1282,1371,7215,1,0.87,0.13,0.16,0.84,1,12193,9448,7936,1,0.77,0.65,1604,96,1,0.06,8477,3548,361,1212,2783,204,369,1,0.42,0.04,0.14,0.33,0.02,0.04,21.03,8586,2617,1842,1392,867,938,930,1,0.3,0.21,0.16,0.1,0.11,0.11,47747.01,9868,255,1123,244,576,1155,542,5953,0,20,1,0.03,0.11,0.02,0.06,0.12,0.05,0.6,0,0,1371,53,18,86,150,432,295,680,89,1,0.04,0.01,0.06,0.11,0.32,0.22,0.5,0.06,287615.74,8586,3156,4029,1107,279,1,0.37,0.47,0.13,0.03,7215,7137,140,524,396,585,783,2711,2076,78,1,0.99,0.02,0.07,0.05,0.08,0.11,0.38,0.29,0.01,1210.35,433252.36659999937,180223.15839999914
22,CHERRY HILL,9209,1683,7339,58,0,42,174,555,8654,1,0.18,0.8,0.01,0,0,0.02,0.06,0.94,9209,846,2232,691,1707,1176,847,851,859,1,0.09,0.24,0.08,0.19,0.13,0.09,0.09,0.09,3378,1212,2166,2032,1346,1,0.36,0.64,0.6,0.4,3980,3378,602,932,2446,1,0.85,0.15,0.28,0.72,1,5440,2734,476,1,0.5,0.09,2032,622,1,0.31,3123,1903,451,625,116,7,21,1,0.61,0.14,0.2,0.04,0,0.01,28.66,3378,1655,768,430,321,139,65,1,0.49,0.23,0.13,0.1,0.04,0.02,26106.77,3980,221,2917,60,148,364,166,104,0,0,1,0.06,0.73,0.02,0.04,0.09,0.04,0.03,0,0,932,93,411,286,129,8,0,192,5,1,0.1,0.44,0.31,0.14,0.01,0,0.21,0.01,95377.13,3378,1351,1202,625,146,1,0.4,0.36,0.19,0.04,2446,2419,267,383,244,220,519,666,147,27,1,0.99,0.11,0.16,0.1,0.09,0.21,0.27,0.06,0.01,796.82,431507.5926999971,176488.1499999985
65,CHEVERLY,10214,2207,6754,323,37,653,480,1264,8950,1,0.22,0.66,0.03,0,0.06,0.05,0.12,0.88,10214,658,1745,808,1423,1515,1452,1334,1279,1,0.06,0.17,0.08,0.14,0.15,0.14,0.13,0.13,3613,996,2617,2487,1126,1,0.28,0.72,0.69,0.31,3943,3613,330,2140,1473,1,0.92,0.08,0.59,0.41,1,7003,4055,2053,1,0.58,0.29,2487,249,1,0.1,4836,3073,497,1008,41,34,183,1,0.64,0.1,0.21,0.01,0.01,0.04,33.48,3613,466,692,572,541,773,569,1,0.13,0.19,0.16,0.15,0.21,0.16,78535.12,3943,2392,350,65,138,332,618,41,7,0,1,0.61,0.09,0.02,0.04,0.08,0.16,0.01,0,0,2140,102,51,189,263,775,714,213,23,1,0.05,0.02,0.09,0.12,0.36,0.33,0.1,0.01,260000,3613,550,1388,1180,477,1,0.15,0.38,0.33,0.13,1473,1393,0,0,26,60,171,763,453,80,1,0.95,0,0,0.02,0.04,0.12,0.52,0.31,0.05,1288.01,407221.21360000223,138752.56069999933
11,COLD SPRING LANE,9167,6455,1653,716,22,102,438,439,8728,1,0.7,0.18,0.08,0,0.01,0.05,0.05,0.95,9167,442,1048,644,1426,1350,1361,1177,1719,1,0.05,0.11,0.07,0.16,0.15,0.15,0.13,0.19,4283,1923,2360,1965,2318,1,0.45,0.55,0.46,0.54,4652,4283,369,2766,1517,1,0.92,0.08,0.65,0.35,1,7033,5162,4025,1,0.73,0.57,1965,60,1,0.03,4599,3244,347,420,156,118,314,1,0.71,0.08,0.09,0.03,0.03,0.07,21.77,4283,686,796,730,568,640,863,1,0.16,0.19,0.17,0.13,0.15,0.2,72585.62,4652,850,1954,114,246,355,320,813,0,0,1,0.18,0.42,0.02,0.05,0.08,0.07,0.17,0,0,2766,34,91,365,648,732,491,682,36,1,0.01,0.03,0.13,0.23,0.26,0.18,0.25,0.01,233469.95,4283,505,1997,1435,333,1,0.12,0.47,0.34,0.08,1517,1436,22,86,68,114,209,517,501,81,1,0.95,0.01,0.06,0.04,0.08,0.14,0.34,0.33,0.05,1211.8,430349.32140000165,186284.1779000014
114,COLLEGE PARK METRO,5632,4033,788,465,57,225,128,644,4988,1,0.72,0.14,0.08,0.01,0.04,0.02,0.11,0.89,5632,116,252,3234,533,375,328,411,383,1,0.02,0.04,0.57,0.09,0.07,0.06,0.07,0.07,1161,260,901,632,529,1,0.22,0.78,0.54,0.46,1308,1161,147,704,457,1,0.89,0.11,0.61,0.39,1,2030,1387,1195,1,0.68,0.59,632,40,1,0.06,2483,989,264,434,532,129,135,1,0.4,0.11,0.17,0.21,0.05,0.05,24.32,1161,219,171,171,146,224,230,1,0.19,0.15,0.15,0.13,0.19,0.2,78339.04,1308,938,5,0,77,134,124,30,0,0,1,0.72,0,0,0.06,0.1,0.09,0.02,0,0,704,5,4,6,22,149,450,161,0,1,0.01,0.01,0.01,0.03,0.21,0.64,0.23,0,373777.78,1161,85,419,329,272,1,0.07,0.36,0.28,0.23,457,457,0,0,0,35,137,80,205,0,1,1,0,0,0,0.08,0.3,0.18,0.45,0,1353.13,406195.0491999984,145475.1264999993
62,COLLEGE PARK-UNIVERSITY OF MARYLAND,6289,4465,969,509,57,225,128,644,5645,1,0.71,0.15,0.08,0.01,0.04,0.02,0.1,0.9,6289,126,270,3440,716,428,392,460,457,1,0.02,0.04,0.55,0.11,0.07,0.06,0.07,0.07,1381,314,1067,755,626,1,0.23,0.77,0.55,0.45,1553,1381,172,860,521,1,0.89,0.11,0.62,0.38,1,2453,1738,1458,1,0.71,0.59,755,40,1,0.05,2926,1188,316,490,569,200,163,1,0.41,0.11,0.17,0.19,0.07,0.06,26.04,1381,219,233,236,146,265,282,1,0.16,0.17,0.17,0.11,0.19,0.2,75428.08,1553,1138,38,12,77,134,124,30,0,0,1,0.73,0.02,0.01,0.05,0.09,0.08,0.02,0,0,860,5,4,17,42,201,523,185,0,1,0.01,0,0.02,0.05,0.23,0.61,0.22,0,361567.88,1381,85,496,406,325,1,0.06,0.36,0.29,0.24,521,521,0,0,0,35,137,93,256,0,1,1,0,0,0,0.07,0.26,0.18,0.49,0,1353.13,406189.5834000036,145576.3038999997
109,CONNECTICUT AVENUE,5922,4958,412,327,6,80,278,492,5430,1,0.84,0.07,0.06,0,0.01,0.05,0.08,0.92,5922,293,1049,150,418,611,1033,759,1609,1,0.05,0.18,0.03,0.07,0.1,0.17,0.13,0.27,2350,660,1690,1594,756,1,0.28,0.72,0.68,0.32,2499,2350,149,1711,639,1,0.94,0.06,0.73,0.27,1,4430,3854,3544,1,0.87,0.8,1594,41,1,0.03,2768,1830,190,286,67,76,319,1,0.66,0.07,0.1,0.02,0.03,0.12,31.9,2350,128,116,182,239,414,1271,1,0.05,0.05,0.08,0.1,0.18,0.54,214201.42,2499,1555,143,0,124,53,0,624,0,0,1,0.62,0.06,0,0.05,0.02,0,0.25,0,0,1711,2,0,0,0,48,140,1147,653,1,0,0,0,0,0.03,0.08,0.67,0.38,883352.53,2350,299,640,1025,372,1,0.13,0.27,0.44,0.16,639,624,0,0,0,9,9,109,512,15,1,0.98,0,0,0,0.01,0.01,0.17,0.8,0.02,2765.01,393386.99819999933,147428.68930000067
18,CONVENTION CENTER,14168,7420,4512,1421,157,269,778,650,13518,1,0.52,0.32,0.1,0.01,0.02,0.05,0.05,0.95,14168,396,993,2101,5351,1744,1280,1171,1132,1,0.03,0.07,0.15,0.38,0.12,0.09,0.08,0.08,6937,3243,3694,1972,4965,1,0.47,0.53,0.28,0.72,8244,6937,1307,1734,5203,1,0.84,0.16,0.25,0.75,1,10678,8320,6603,1,0.78,0.62,1972,194,1,0.1,8173,4029,301,849,2528,166,300,1,0.49,0.04,0.1,0.31,0.02,0.04,21.02,6937,1833,1165,1348,777,853,961,1,0.26,0.17,0.19,0.11,0.12,0.14,58725.89,8244,364,2612,417,510,324,173,3844,0,0,1,0.04,0.32,0.05,0.06,0.04,0.02,0.47,0,0,1734,55,80,206,231,458,308,757,89,1,0.03,0.05,0.12,0.13,0.26,0.18,0.44,0.05,264410.48,6937,1984,3279,1282,392,1,0.29,0.47,0.18,0.06,5203,5159,75,164,269,260,437,2070,1928,44,1,0.99,0.01,0.03,0.05,0.05,0.08,0.4,0.37,0.01,1264.49,432836.4033000022,179791.60379999876
29,CROMWELL-GLEN BURNIE,8229,6761,706,230,47,51,868,419,7810,1,0.82,0.09,0.03,0.01,0.01,0.11,0.05,0.95,8229,275,1239,800,1215,1032,1090,1262,1316,1,0.03,0.15,0.1,0.15,0.13,0.13,0.15,0.16,3115,754,2361,2198,917,1,0.24,0.76,0.71,0.29,3246,3115,131,2335,780,1,0.96,0.04,0.75,0.25,1,5915,3225,1125,1,0.55,0.19,2198,132,1,0.06,4891,4029,557,81,95,79,50,1,0.82,0.11,0.02,0.02,0.02,0.01,24.86,3115,412,510,637,458,625,473,1,0.13,0.16,0.2,0.15,0.2,0.15,74941.13,3246,2658,91,70,60,24,148,195,0,0,1,0.82,0.03,0.02,0.02,0.01,0.05,0.06,0,0,2335,47,9,103,207,1541,419,120,9,1,0.02,0,0.04,0.09,0.66,0.18,0.05,0,252011.68,3115,276,780,1076,902,1,0.09,0.25,0.35,0.29,780,758,13,56,69,22,52,318,250,22,1,0.97,0.02,0.07,0.09,0.03,0.07,0.41,0.32,0.03,1262.58,431706.3746000007,167179.08889999986
102,CULTURAL CENTER,22279,9362,10578,1099,94,448,1396,980,21299,1,0.42,0.47,0.05,0,0.02,0.06,0.04,0.96,22279,946,2020,3146,6606,2127,2220,2185,3029,1,0.04,0.09,0.14,0.3,0.1,0.1,0.1,0.14,12152,7426,4726,3050,9102,1,0.61,0.39,0.25,0.75,14701,12152,2549,1918,10234,1,0.83,0.17,0.16,0.84,1,16167,10937,8407,1,0.68,0.52,3050,574,1,0.19,11545,4954,446,3146,2117,428,454,1,0.43,0.04,0.27,0.18,0.04,0.04,23.38,12152,4737,2689,1635,1272,883,936,1,0.39,0.22,0.13,0.1,0.07,0.08,37448.87,14701,221,2421,583,1813,2380,1189,6074,0,20,1,0.02,0.16,0.04,0.12,0.16,0.08,0.41,0,0,1918,66,99,132,273,524,562,879,0,1,0.03,0.05,0.07,0.14,0.27,0.29,0.46,0,274236.64,12152,5558,4763,1562,233,1,0.46,0.39,0.13,0.02,10234,10100,509,1174,811,1059,2003,3231,1447,134,1,0.99,0.05,0.11,0.08,0.1,0.2,0.32,0.14,0.01,937.1,432737.0077999979,181782.28400000185
125,DALE DRIVE,13815,7139,4281,766,46,856,1454,1733,12082,1,0.52,0.31,0.06,0,0.06,0.11,0.13,0.87,13815,1114,1502,859,2926,2277,1873,1779,1485,1,0.08,0.11,0.06,0.21,0.16,0.14,0.13,0.11,6508,2705,3803,3246,3262,1,0.42,0.58,0.5,0.5,6776,6508,268,2460,4048,1,0.96,0.04,0.38,0.62,1,10340,8209,7121,1,0.79,0.69,3246,222,1,0.07,8385,4195,617,2419,466,165,523,1,0.5,0.07,0.29,0.06,0.02,0.06,34.17,6508,798,1341,1198,663,1152,1356,1,0.12,0.21,0.18,0.1,0.18,0.21,73267.95,6776,2076,389,89,87,575,612,2930,18,0,1,0.31,0.06,0.01,0.01,0.08,0.09,0.43,0,0,2460,13,27,74,137,258,775,1817,11,1,0.01,0.01,0.03,0.06,0.1,0.32,0.74,0,486064.52,6508,1180,3250,1690,370,1,0.18,0.5,0.26,0.06,4048,3999,40,30,31,112,147,2064,1624,49,1,0.99,0.01,0.01,0.01,0.03,0.04,0.51,0.4,0.01,1397.17,398566.21589999646,147932.13419999927
107,DEANWOOD,5312,383,4254,235,0,396,88,827,4485,1,0.07,0.8,0.04,0,0.07,0.02,0.16,0.84,5312,351,950,544,641,770,766,730,560,1,0.07,0.18,0.1,0.12,0.14,0.14,0.14,0.11,1761,499,1262,1193,568,1,0.28,0.72,0.68,0.32,2003,1761,242,871,890,1,0.88,0.12,0.49,0.51,1,3467,1901,442,1,0.55,0.13,1193,128,1,0.11,2080,1279,218,479,44,46,14,1,0.61,0.1,0.23,0.02,0.02,0.01,31.98,1761,309,527,338,261,202,124,1,0.18,0.3,0.19,0.15,0.11,0.07,53291.42,2003,971,99,65,75,109,677,0,7,0,1,0.48,0.05,0.03,0.04,0.05,0.34,0,0,0,871,60,72,136,193,368,38,70,0,1,0.07,0.08,0.16,0.22,0.42,0.04,0.08,0,193393.78,1761,325,820,469,147,1,0.18,0.47,0.27,0.08,890,866,0,0,0,27,235,475,153,24,1,0.97,0,0,0,0.03,0.26,0.53,0.17,0.03,1180,405615.4324999973,137815.1719999984
96,DICKERSON,4430,3890,269,138,33,16,168,113,4317,1,0.88,0.06,0.03,0.01,0,0.04,0.03,0.97,4430,233,637,461,264,543,768,736,788,1,0.05,0.14,0.1,0.06,0.12,0.17,0.17,0.18,1623,363,1260,1176,447,1,0.22,0.78,0.72,0.28,1749,1623,126,1359,264,1,0.93,0.07,0.84,0.16,1,3099,2176,1709,1,0.7,0.55,1176,24,1,0.02,2318,1497,328,52,64,15,362,1,0.65,0.14,0.02,0.03,0.01,0.16,34.11,1623,194,149,126,152,276,726,1,0.12,0.09,0.08,0.09,0.17,0.45,134510.87,1749,1695,37,14,0,0,0,0,3,0,1,0.97,0.02,0.01,0,0,0,0,0,0,1359,16,0,10,44,88,243,1037,201,1,0.01,0,0.01,0.03,0.06,0.18,0.76,0.15,683949.8,1623,13,274,527,648,1,0.01,0.17,0.32,0.4,264,212,0,0,15,16,56,63,114,52,1,0.8,0,0,0.06,0.06,0.21,0.24,0.43,0.2,1150.79,363560.1050999984,172515.5262000002
57,DORSEY,6796,4289,1542,535,0,137,586,595,6201,1,0.63,0.23,0.08,0,0.02,0.09,0.09,0.91,6796,381,933,597,1205,941,1409,899,431,1,0.06,0.14,0.09,0.18,0.14,0.21,0.13,0.06,2347,598,1749,1602,745,1,0.25,0.75,0.68,0.32,2566,2347,219,1426,921,1,0.91,0.09,0.61,0.39,1,4885,3086,1855,1,0.63,0.38,1602,17,1,0.01,3184,2582,385,140,4,26,47,1,0.81,0.12,0.04,0,0.01,0.01,25.13,2347,63,363,306,262,859,494,1,0.03,0.15,0.13,0.11,0.37,0.21,110448.2,2566,1345,280,5,18,33,286,599,0,0,1,0.52,0.11,0,0.01,0.01,0.11,0.23,0,0,1426,20,0,0,45,263,821,524,0,1,0.01,0,0,0.03,0.18,0.58,0.37,0,393788.06,2347,100,671,1101,343,1,0.04,0.29,0.47,0.15,921,921,0,0,17,0,5,162,737,0,1,1,0,0,0.02,0,0.01,0.18,0.8,0,2813.47,422017.9707000032,168173.0335999988
119,EAST CAMPUS,17773,10476,2844,3163,38,606,1292,907,16866,1,0.59,0.16,0.18,0,0.03,0.07,0.05,0.95,17773,219,415,14778,1024,444,310,175,408,1,0.01,0.02,0.83,0.06,0.02,0.02,0.01,0.02,2126,737,1389,569,1557,1,0.35,0.65,0.27,0.73,2447,2126,321,478,1648,1,0.87,0.13,0.22,0.78,1,2361,1643,1284,1,0.7,0.54,569,22,1,0.04,5935,1774,320,589,2576,281,395,1,0.3,0.05,0.1,0.43,0.05,0.07,18.04,2126,991,324,366,71,200,174,1,0.47,0.15,0.17,0.03,0.09,0.08,30555.56,2447,854,195,12,52,163,123,1048,0,0,1,0.35,0.08,0,0.02,0.07,0.05,0.43,0,0,478,10,0,22,51,124,246,182,0,1,0.02,0,0.05,0.11,0.26,0.51,0.38,0,326016.26,2126,584,647,433,372,1,0.27,0.3,0.2,0.17,1648,1631,11,99,84,76,419,256,703,17,1,0.99,0.01,0.06,0.05,0.05,0.25,0.16,0.43,0.01,1247.07,405513.369099997,146385.25
