OBJECTID,STATION_NAME,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Percent of jobs for workers age 29 or younger,Percent of jobs for workers age 30 to 54,Percent of jobs for workers age 55 or older,Percent of jobs with earnings $1250/month or less,Percent of jobs with earnings $1251/month to $3333/month,Percent of jobs with earnings greater than $3333/month,"Percent of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Percent of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Percent of jobs in NAICS sector 22 (Utilities),Percent of jobs in NAICS sector 23 (Construction),Percent of jobs in NAICS sector 31-33 (Manufacturing),Percent of jobs in NAICS sector 42 (Wholesale Trade),Percent of jobs in NAICS sector 44-45 (Retail Trade),Percent of jobs in NAICS sector 48-49 (Transportation and Warehousing),Percent of jobs in NAICS sector 51 (Information),Percent of jobs in NAICS sector 52 (Finance and Insurance),Percent of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Percent of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Percent of jobs in NAICS sector 55 (Management of Companies and Enterprises),Percent of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Percent of jobs in NAICS sector 61 (Educational Services),Percent of jobs in NAICS sector 62 (Health Care and Social Assistance),"Percent of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Percent of jobs in NAICS sector 72 (Accommodation and Food Services),Percent of jobs in NAICS sector 81 (Other Services [except Public Administration]),Percent of jobs in NAICS sector 92 (Public Administration),x,y
19,CAMDEN YARDS-CAMDEN STATION,93307,17432,53697,22178,12871,24265,56171,1,0,2967,1801,501,1012,1805,2750,1277,6566,1265,10393,573,5780,7862,18144,4657,7388,2054,16511,0.18682414,0.57548737,0.23768849,0.13794249,0.26005552,0.60200199,0.00001072,0,0.03179826,0.01930187,0.00536937,0.01084592,0.01934474,0.0294726,0.013686,0.07036985,0.0135574,0.111385,0.00614102,0.06194605,0.08425949,0.19445486,0.04991051,0.07917948,0.02201335,0.1769535,432810.5866,179584.0351
20,HAMBURG STREET,18828,5526,9540,3762,5455,6007,7366,0,0,20,858,612,655,533,157,748,865,223,1604,15,1712,180,837,4014,4742,644,409,0.29349904,0.50669216,0.1998088,0.28972806,0.3190461,0.39122583,0,0,0.00106225,0.04557043,0.03250478,0.03478861,0.0283089,0.00833865,0.03972807,0.04594221,0.01184406,0.08519227,0.00079669,0.09092841,0.00956023,0.04445507,0.21319312,0.25185893,0.03420438,0.02172297,432785.0876,178999.5102
21,WESTPORT,1094,175,596,323,146,490,458,0,0,0,85,280,158,26,317,0,0,34,0,0,0,109,35,6,0,44,0,0.15996344,0.54478976,0.2952468,0.13345521,0.44789762,0.41864717,0,0,0,0.07769653,0.2559415,0.14442413,0.023766,0.28976234,0,0,0.03107861,0,0,0,0.09963437,0.03199269,0.00548446,0,0.04021938,0,431746.5314,177133.442
33,OLD COURT,4415,1053,2252,1110,1332,1734,1349,0,0,0,139,76,197,384,25,35,135,70,394,14,723,201,1305,81,400,227,9,0.2385051,0.51007928,0.25141563,0.30169875,0.39275198,0.30554926,0,0,0,0.03148358,0.01721404,0.04462061,0.08697622,0.00566251,0.00792752,0.03057758,0.01585504,0.08924122,0.00317101,0.16375991,0.04552661,0.29558324,0.01834655,0.09060023,0.05141563,0.00203851,422040.4864,189255.8957
34,MILFORD MILL,2676,551,1410,715,728,1182,766,0,0,0,99,49,2,60,41,42,35,47,61,5,305,376,1293,15,156,90,0,0.20590434,0.52690583,0.26718984,0.27204783,0.44170404,0.28624813,0,0,0,0.03699552,0.01831091,0.00074738,0.02242153,0.01532138,0.01569507,0.01307922,0.01756353,0.02279522,0.00186846,0.11397608,0.14050822,0.48318386,0.00560538,0.05829596,0.03363229,0,424078.9014,187969.962
35,REISTERSTOWN PLAZA,19524,2283,11406,5835,1801,3532,14191,0,0,0,167,553,152,1222,29,196,163,240,477,0,710,211,1403,19,478,360,13144,0.11693301,0.58420406,0.29886294,0.09224544,0.18090555,0.72684901,0,0,0,0.00855358,0.02832411,0.00778529,0.06258963,0.00148535,0.01003893,0.0083487,0.01229256,0.02443147,0,0.0363655,0.01080721,0.07186028,0.00097316,0.02448269,0.01843884,0.6732227,425453.6389,187117.3261
36,ROGERS AVENUE,19946,2245,11636,6065,1983,3722,14241,0,0,0,213,520,136,1215,5,155,44,153,473,188,968,262,1611,28,426,405,13144,0.1125539,0.58337511,0.30407099,0.09941843,0.18660383,0.71397774,0,0,0,0.01067883,0.02607039,0.00681841,0.06091447,0.00025068,0.00777098,0.00220596,0.00767071,0.02371403,0.00942545,0.04853103,0.01313547,0.08076807,0.00140379,0.02135767,0.02030482,0.65897924,426558.0368,186333.4245
37,WEST COLD SPRING,2292,380,1274,638,692,1007,593,0,0,0,176,92,9,235,168,0,2,52,17,0,304,248,732,3,121,133,0,0.16579407,0.55584642,0.27835951,0.30191972,0.43935428,0.258726,0,0,0,0.07678883,0.04013962,0.0039267,0.10253054,0.07329843,0,0.0008726,0.02268761,0.0074171,0,0.13263525,0.10820244,0.31937173,0.0013089,0.05279232,0.05802792,0,428250.325,185389.4899
38,MONDAWMIN,4997,1106,2513,1378,1430,1685,1882,0,0,0,78,38,148,886,206,99,7,41,66,0,341,2189,270,227,171,168,62,0.2213328,0.50290174,0.27576546,0.2861717,0.33720232,0.37662598,0,0,0,0.01560937,0.00760456,0.02961777,0.17730638,0.04122474,0.01981189,0.00140084,0.00820492,0.01320793,0,0.06824095,0.43806284,0.05403242,0.04542726,0.03422053,0.03362017,0.01240744,429951.7065,183352.0018
39,PENN-NORTH,2919,542,1575,802,684,1035,1200,0,0,2,47,36,60,280,280,0,6,76,12,0,60,1012,415,229,132,181,91,0.18568003,0.53956834,0.27475163,0.23432682,0.35457348,0.41109969,0,0,0.00068517,0.01610141,0.01233299,0.02055499,0.09592326,0.09592326,0,0.0020555,0.02603631,0.004111,0,0.02055499,0.34669407,0.14217198,0.07845152,0.04522097,0.06200754,0.03117506,430845.7179,182512.7228
40,UPTON,2442,510,1343,589,657,923,862,0,0,2,52,4,18,313,238,0,6,81,9,0,41,540,759,30,112,146,91,0.20884521,0.54995905,0.24119574,0.26904177,0.37796888,0.35298935,0,0,0.000819,0.02129402,0.001638,0.00737101,0.12817363,0.0974611,0,0.002457,0.03316953,0.0036855,0,0.01678952,0.22113022,0.31081081,0.01228501,0.04586405,0.05978706,0.03726454,431343.2757,181940.172
41,CHARLES CENTER,97182,17341,56348,23493,13149,24860,59173,1,0,2959,1444,210,618,1508,2752,2913,7142,1390,10857,582,5841,8418,19957,2895,7291,2388,18016,0.17843839,0.57981931,0.2417423,0.13530283,0.25580869,0.60888848,0.00001029,0,0.03044803,0.01485872,0.00216089,0.0063592,0.01551728,0.028318,0.02997469,0.07349098,0.01430306,0.11171822,0.00598876,0.06010372,0.08662098,0.20535696,0.02978947,0.07502418,0.02457245,0.18538413,433252.3666,180223.1584
42,SHOT TOWER-MARKET PLACE,89774,17196,52069,20509,11210,23052,55512,1,0,2947,1551,841,837,1917,2744,1651,8878,1308,11562,956,5283,2731,16815,1342,8097,2395,17918,0.19154766,0.58000089,0.22845145,0.12486912,0.25677813,0.61835275,0.00001114,0,0.03282688,0.01727672,0.00936797,0.00932341,0.02135362,0.03056564,0.01839063,0.09889278,0.01456992,0.12879007,0.01064896,0.05884777,0.03042084,0.18730367,0.01494865,0.09019315,0.0266781,0.19959008,433992.6693,180260.7668
43,JOHNS HOPKINS HOSPITAL,29963,5780,17319,6864,3303,8857,17803,0,0,0,119,124,168,367,23,30,690,119,442,0,1656,11188,12591,30,718,317,1381,0.19290458,0.57801288,0.22908254,0.11023596,0.2955979,0.59416614,0,0,0,0.00397157,0.00413844,0.00560692,0.01224844,0.00076761,0.00100124,0.0230284,0.00397157,0.01475153,0,0.05526816,0.37339385,0.42021827,0.00100124,0.02396289,0.01057972,0.04609018,435004.9711,181090.7841
48,WEST BALTIMORE,2659,346,1549,764,479,979,1201,0,0,0,125,79,89,282,47,1,12,42,90,0,18,574,1067,6,169,58,0,0.13012411,0.58254983,0.28732606,0.18014291,0.36818353,0.45167356,0,0,0,0.04701015,0.02971042,0.03347123,0.10605491,0.01767582,0.00037608,0.00451298,0.01579541,0.03384731,0,0.00676946,0.21587063,0.40127868,0.00225649,0.06355773,0.02181271,0,429920.5584,180623.2988
102,CULTURAL CENTER,21874,3642,12123,6109,3992,6649,11233,0,0,12,177,25,184,452,7,1655,238,476,1462,29,1162,2792,2896,821,1596,1036,6854,0.16649904,0.55421962,0.27928134,0.18249977,0.30396818,0.51353205,0,0,0.0005486,0.0080918,0.00114291,0.00841181,0.0206638,0.00032002,0.0756606,0.0108805,0.021761,0.06683734,0.00132578,0.05312243,0.12764012,0.13239462,0.03753314,0.07296334,0.04736217,0.31334004,432737.0078,181782.284
103,LEXINGTON MARKET-SOUTHBOUND,93318,16706,54054,22558,12360,23774,57184,1,0,2959,1427,144,590,1518,2731,2905,6609,1395,10755,582,5165,8482,19111,2871,7018,2228,16827,0.17902227,0.57924516,0.24173257,0.13245033,0.25476328,0.61278639,0.00001072,0,0.03170878,0.0152918,0.00154311,0.00632247,0.01626696,0.02926552,0.03113011,0.07082235,0.01494888,0.11525108,0.00623674,0.05534838,0.0908935,0.20479436,0.03076577,0.07520521,0.02387535,0.18031891,432821.9538,180370.9544
104,LEXINGTON MARKET-NORTHBOUND,94016,15869,54906,23241,11749,23886,58381,1,0,2959,1429,105,592,1394,2647,2884,7039,1346,10097,582,5141,8536,19826,2480,5821,2139,18998,0.16879042,0.58400698,0.2472026,0.12496809,0.25406314,0.62096877,0.00001064,0,0.03147337,0.01519954,0.00111683,0.0062968,0.01482726,0.02815478,0.03067563,0.07487023,0.01431671,0.10739661,0.00619044,0.05468218,0.09079306,0.210879,0.02637849,0.06191499,0.02275145,0.20207199,432818.7257,180547.6975
105,STATE CENTER,44095,6176,25374,12545,5543,12323,26229,0,0,1484,244,96,123,713,172,2103,561,618,2123,422,1800,10152,7139,897,2102,1304,12042,0.14006123,0.57543939,0.28449938,0.12570586,0.27946479,0.59482935,0,0,0.03365461,0.00553351,0.00217712,0.00278943,0.01616963,0.00390067,0.04769248,0.01272253,0.01401519,0.04814605,0.00957025,0.04082096,0.23023019,0.16190044,0.02034244,0.0476698,0.02957251,0.27309219,432505.3603,181540.1892
106,LEXINGTON MARKET,91334,15533,53214,22587,11529,23198,56607,1,0,2959,1430,122,577,1401,2631,2884,6511,1349,10107,582,5036,8600,19118,2475,5656,2115,17780,0.1700681,0.58263078,0.24730112,0.12622901,0.25399085,0.61978015,0.00001095,0,0.03239757,0.01565682,0.00133576,0.00631747,0.0153393,0.02880636,0.03157641,0.0712878,0.01476997,0.11065978,0.00637222,0.05513828,0.0941599,0.20931964,0.02709834,0.06192656,0.02315677,0.19467011,432686.3792,180513.3473
