,jurscode,acctid,digxcord,digycord,ooi,resityp,desclu,acres,pflw,sqftstrc,strugrad,desccnst,descstyl,descbldg,lastassd,convey1,tradate,salepric,taxbase,geometry,fips,ct,bg,age,station_name,line,mta_metro,light_rail,marc_penn,marc_camden,x,y,dist_stat,lndist_stat,halfmi_dummy,qmi_dummy,road_name,dist_exit,prsqf,mhinc,occrate
58142,BACO,04131302650260,431370.9,173818.6,H,SF,Residential,0.287,0,1550,3.0,CNST Siding,STRY 1 Story With Basement,DWEL Standard Unit,2016.0,1,2014,170000,192200.0,POINT (431370.8999999985 173818.6000000015),005,430104,1,74.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,475.74548338781227,6.1648830124639575,1,0,HARBOR TUNNEL THRUWAY,1097.5275857103682,109.6774193548387,78854.0,0.8910505836575876
58143,BACO,04132300010542,431420.7,173867.1,H,SF,Residential,0.158,0,908,3.0,CNST Siding,STRY Split Foyer,DWEL Split Foyer,2016.0,1,2016,184900,181400.0,POINT (431420.700000003 173867.1000000015),005,430104,1,15.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,406.3753828192353,6.007277320658041,1,0,HARBOR TUNNEL THRUWAY,1063.997423388829,203.63436123348018,78854.0,0.8910505836575876
58144,BACO,04131303001320,431458.0,173857.6,H,SF,Residential,0.143,0,1251,3.0,CNST Brick,STRY 1 Story With Basement,DWEL Standard Unit,2016.0,3,2015,183000,184100.0,POINT (431458 173857.6000000015),005,430104,1,61.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,390.11826227833063,5.966449929767867,0,1,HARBOR TUNNEL THRUWAY,1025.616815882167,146.2829736211031,78854.0,0.8910505836575876
58145,BACO,04131308001601,431491.8,173839.7,H,SF,Residential,0.215,0,1248,3.0,CNST Brick,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2016.0,3,2016,230000,173500.0,POINT (431491.799999997 173839.6999999993),005,430104,1,64.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,386.1006363186642,5.956098051335821,0,1,HARBOR TUNNEL THRUWAY,987.8804654878105,184.2948717948718,78854.0,0.8910505836575876
58146,BACO,04131313200970,431488.6,173780.5,H,SF,Residential,0.143,0,852,3.0,CNST Siding,STRY Split Foyer,DWEL Split Foyer,2016.0,1,2015,200000,189700.0,POINT (431488.6000000015 173780.5),005,430104,1,13.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,439.31945798403945,6.085226843158207,1,0,HARBOR TUNNEL THRUWAY,973.9603579683394,234.7417840375587,78854.0,0.8910505836575876
58147,BACO,04131313201090,431502.5,173776.1,H,SF,Residential,0.143,0,1246,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2016.0,1,2017,250000,195300.0,POINT (431502.5 173776.1000000015),005,430104,1,87.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,437.0442089340844,6.080034354587685,1,0,HARBOR TUNNEL THRUWAY,959.3955899616368,200.64205457463885,78854.0,0.8910505836575876
58202,BACO,04030312060050,422256.7,189588.6,H,SF,Residential,0.525,0,1838,4.0,CNST Brick,STRY 1 Story With Basement,DWEL Standard Unit,2017.0,1,2017,300000,177000.0,POINT (422256.700000003 189588.6000000015),005,403300,2,64.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,396.7876914241884,5.9834013553333,0,1,NORTHWEST EXPRESSWAY,337.0774978823624,163.2208922742111,91875.0,0.9549376797698944
58203,BACO,04020212200680,421503.0,188948.2,H,SF,Residential,0.957,0,1344,4.0,CNST Brick,STRY 1 Story With Basement,DWEL Standard Unit,2016.0,1,2015,280000,266100.0,POINT (421503 188948.1999999993),005,402307,3,57.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,619.3288899961784,6.428636456292713,1,0,NORTHWEST EXPRESSWAY,787.6023078909102,208.33333333333334,64497.0,0.9056103108415466
58204,BACO,04022200016478,421423.7,188859.5,H,SF,Residential,0.442,0,1108,4.0,CNST Siding,STRY Split Foyer,DWEL Split Foyer,2016.0,1,2017,270000,191900.0,POINT (421423.700000003 188859.5),005,402307,3,23.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,733.1814333435904,6.597393192872952,1,0,NORTHWEST EXPRESSWAY,905.0828415649945,243.68231046931407,64497.0,0.9056103108415466
58205,BACO,04020219321660,421338.2,188874.2,H,SF,Residential,0.128,0,1536,3.0,CNST Frame,STRY 2 Story No Basement,DWEL Split Level,2016.0,1,2016,119900,153500.0,POINT (421338.200000003 188874.1999999993),005,402604,1,55.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,799.3108250360557,6.683749887685588,1,0,NORTHWEST EXPRESSWAY,943.1093668708653,78.05989583333333,90292.0,0.9428571428571428
58206,BACO,04020212000910,421116.8,188795.1,H,SF,Residential,0.12,0,1830,3.0,CNST Shingle Asbestos,STRY 2 Story No Basement,DWEL Split Level,2016.0,1,2016,189000,161500.0,POINT (421116.799999997 188795.1000000015),005,402604,1,54.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1032.2447590991035,6.939491087590902,0,0,NORTHWEST EXPRESSWAY,1148.9171559417907,103.27868852459017,90292.0,0.9428571428571428
58207,BACO,04022400006256,420948.3,188829.6,H,SF,Residential,0.305,0,1936,4.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2016.0,1,2016,320000,279100.0,POINT (420948.299999997 188829.6000000015),005,402604,1,12.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1172.4330071218021,7.066836361904955,0,0,NORTHWEST EXPRESSWAY,1250.5528412172523,165.28925619834712,90292.0,0.9428571428571428
58208,BACO,04020223001550,420591.9,188781.2,H,SF,Residential,0.158,0,1221,3.0,CNST Shingle Asbestos,STRY 1 Story With Basement,DWEL Standard Unit,2016.0,1,2014,199000,188800.0,POINT (420591.8999999985 188781.1999999993),005,402604,1,52.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1524.381371530252,7.329343948727092,0,0,NORTHWEST EXPRESSWAY,1569.2378098896618,162.98116298116298,90292.0,0.9428571428571428
58209,BACO,04020219610340,420562.3,188793.2,H,SF,Residential,0.164,0,1470,3.0,CNST Brick,STRY 1 Story With Basement,DWEL Standard Unit,2016.0,1,2016,236900,198000.0,POINT (420562.299999997 188793.1999999993),005,402604,1,54.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1548.9100503105167,7.34530676920883,0,0,NORTHWEST EXPRESSWAY,1588.1314324240961,161.156462585034,90292.0,0.9428571428571428
58439,BACO,04030308002025,424498.2,188458.6,H,SF,Residential,0.138,0,1145,4.0,CNST Stone,STRY 1 Story With Basement,DWEL Standard Unit,2017.0,3,2016,126000,172700.0,POINT (424498.200000003 188458.6000000015),005,403402,4,74.0,MILFORD MILL,Metro,1,0,0,0,424078.9014,187969.962,643.8776366748098,6.467508702887747,1,0,BALTO BELTWAY (INNER LOOP),2768.3382243708556,110.04366812227074,51623.0,0.9811840293712712
58440,BACO,04030303053650,424355.4,188459.1,N,SF,Residential,0.496,0,2833,4.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,100000,176800.0,POINT (424355.3999999985 188459.1000000015),005,403402,2,66.0,MILFORD MILL,Metro,1,0,0,0,424078.9014,187969.962,561.8785089737895,6.331285650321026,1,0,BALTO BELTWAY (INNER LOOP),2689.0826846750765,35.29827038475115,51623.0,0.9811840293712712
58441,BACO,04030313025760,424344.2,188365.4,H,SF,Residential,0.138,0,1708,4.0,CNST Stone,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2016,239999,239600.0,POINT (424344.200000003 188365.3999999985),005,403402,4,74.0,MILFORD MILL,Metro,1,0,0,0,424078.9014,187969.962,476.1875250427895,6.1658117368234135,1,0,NORTHWEST EXPRESSWAY,2727.077501589973,140.5146370023419,51623.0,0.9811840293712712
